,title,price,hour1,volume24,marketcap
0,BTC,"27,025.05",0.06,"12,881,604,111476,661 BTC",523.61
1,ETH,"1,825.01",0.31,"5,506,686,2193,018,759 ETH",219.42
2,USDT,1.00,0.07,"19,716,740,89619,714,741,795 USDT",82.83
3,BNB,310.69,0.01,"407,346,3091,311,107 BNB",48.42
4,USDC,0.9999,0.00,"2,746,901,8792,746,938,196 USDC",29.67
5,XRP,0.4229,0.21,"759,166,2421,795,318,106 XRP",21.92
6,ADA,0.3666,0.05,"173,012,151471,890,963 ADA",12.78
7,DOGE,0.07214,0.13,"182,973,0422,536,259,925 DOGE",10.05
8,SOL,20.71,0.95,"256,577,98412,388,992 SOL",8.19
9,MATIC,0.843,0.12,"338,948,620402,096,119 MATIC",7.8
10,FLOKI,0.0...03392,0.08,"19,231,780567,039,604,491 FLOKI",329.37
11,BAT,0.0...03392,0.62,"12,022,26154,545,965 BAT",328.19
12,MASK,0.2204,0.37,"82,018,93120,782,641 MASK",316.21
13,AGIX,3.95,0.45,"36,160,671140,894,446 AGIX",311.85
14,OSMO,0.2567,0.22,"4,410,9157,022,043 OSMO",309.42
15,ROSE,0.6282,1.50,"9,853,297184,112,396 ROSE",306.43
16,ENS,0.05352,1.15,"10,954,6351,041,446 ENS",300.01
17,XEM,10.52,2.94,"7,579,162227,522,901 XEM",299.8
18,GNO,0.03331,0.40,"3,718,94432,236 GNO",298.75
19,HOT,115.36,6.59,"9,083,9195,342,660,868 HOT",294.94
20,stETH,0.0017,0.17,"11,199,1446,201 STETH",12.13
21,WTRX,"1,806.12",0.60,"1,922,77527,342,008 WTRX",7.15
22,HEX,0.07032,3.13,"23,038,094698,944,783 HEX",5.72
23,CNX,0.03296,0.28,"2,172,775110,006 CNX",2.12
24,WHBAR,19.75,2.04,"110,3062,101,640 WHBAR",1.65
25,BTCB,0.05249,0.13,"15,905,381588 BTCB",1.46
26,FRAX,"27,059.41",0.08,"11,310,74411,325,418 FRAX",1.0
27,WBNB,0.9987,0.45,"116,491,840374,715 WBNB",973.91
28,WEOS,310.88,1.57,"3,2653,685 WEOS",966.77
29,XRD,0.886,1.69,"3,189,41440,369,423 XRD",803.58
30,WNXM,0.07901,0.10,"6,819,451255,616 WNXM",77.27
31,LOOKS,26.68,2.98,"6,493,33269,398,980 LOOKS",77.19
32,POWR,0.09357,0.35,"1,795,38011,083,672 POWR",77.12
33,CQT,0.162,0.42,"538,9034,031,996 CQT",76.57
34,ARDR,0.1337,2.55,"469,2506,123,964 ARDR",76.55
35,NYM,0.07663,7.42,"459,2502,686,943 NYM",76.54
36,REP,0.1709,0.18,"43,150,3626,247,017 REP",75.98
37,XVS,6.91,0.09,"4,118,543816,095 XVS",75.22
